oid,description
iso.3.6.1.2.1.11.1,"[<code>snmpInPkts OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The total number of messages delivered to the SNMP entity from the transport service.""</code>]"
iso.3.6.1.2.1.11.2,"[<code>snmpOutPkts OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
MAX-ACCESS read-only<br/>
STATUS obsolete<br/>
DESCRIPTION<br/>
""The total number of SNMP Messages which were<br/>
passed from the SNMP protocol entity to the<br/>
transport service.""</code>]"
iso.3.6.1.2.1.11.3,"[<code>snmpInBadVersions OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The total number of SNMP messages which were delivered<br/>
to the SNMP entity and were for an unsupported SNMP<br/>
version.""</code>]"
iso.3.6.1.2.1.11.4,"[<code>snmpInBadCommunityNames OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The total number of community-based SNMP messages (for<br/>
example, SNMPv1) delivered to the SNMP entity which<br/>
used an SNMP community name not known to said entity.<br/>
Also, implementations which authenticate community-based<br/>
SNMP messages using check(s) in addition to matching<br/>
the community name (for example, by also checking<br/>
whether the message originated from a transport address<br/>
allowed to use a specified community name) MAY include<br/>
in this value the number of messages which failed the<br/>
additional check(s). It is strongly RECOMMENDED that<br/>
the documentation for any security model which is used<br/>
to authenticate community-based SNMP messages specify<br/>
the precise conditions that contribute to this value.""</code>]"
iso.3.6.1.2.1.11.5,"[<code>snmpInBadCommunityUses OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The total number of community-based SNMP messages (for<br/>
example, SNMPv1) delivered to the SNMP entity which<br/>
represented an SNMP operation that was not allowed for<br/>
the SNMP community named in the message. The precise<br/>
conditions under which this counter is incremented<br/>
(if at all) depend on how the SNMP entity implements<br/>
its access control mechanism and how its applications<br/>
interact with that access control mechanism. It is<br/>
strongly RECOMMENDED that the documentation for any<br/>
access control mechanism which is used to control access<br/>
to and visibility of MIB instrumentation specify the<br/>
precise conditions that contribute to this value.""</code>]"
iso.3.6.1.2.1.11.6,"[<code>snmpInASNParseErrs OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The total number of ASN.1 or BER errors encountered by<br/>
the SNMP entity when decoding received SNMP messages.""</code>]"
iso.3.6.1.2.1.11.7,"[<code>snmpInBadTypes OBJECT-TYPE<br/>
SYNTAX Counter<br/>
ACCESS read-only<br/>
STATUS mandatory</code>]"
iso.3.6.1.2.1.11.8,"[<code>snmpInTooBigs OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
MAX-ACCESS read-only<br/>
STATUS obsolete<br/>
DESCRIPTION<br/>
""The total number of SNMP PDUs which were<br/>
delivered to the SNMP protocol entity and for<br/>
which the value of the error-status field was<br/>
`tooBig'.""</code>]"
iso.3.6.1.2.1.11.9,"[<code>snmpInNoSuchNames OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
MAX-ACCESS read-only<br/>
STATUS obsolete<br/>
DESCRIPTION<br/>
""The total number of SNMP PDUs which were<br/>
delivered to the SNMP protocol entity and for<br/>
which the value of the error-status field was<br/>
`noSuchName'.""</code>]"
iso.3.6.1.2.1.11.10,"[<code>snmpInBadValues OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
MAX-ACCESS read-only<br/>
STATUS obsolete<br/>
DESCRIPTION<br/>
""The total number of SNMP PDUs which were<br/>
delivered to the SNMP protocol entity and for<br/>
which the value of the error-status field was<br/>
`badValue'.""</code>]"
